1g
Switch In 1-2,48.618551499999995 , 6.1789445,"Switch_In",1
Maxeville EcoParc,48.704757,6.132454,1,True,
Nancy Pôle de santé,48.703545,6.141982,1,True,
Beauregard Saint-Anne,48.693119,6.140662,1,True,
La Poste - Champ-le-Boeuf,48.700298,6.133424,1,True,

33
Vezouze,48.695091,6.131861,1,True,
Croix Saint-Claude,48.68927,6.132211,1,True,
Laxou Champ-le-Boeuf,48.698002,6.124475,1,True,

34
Baudricourt,48.677856,6.159223,1,True,
Charlemagne,48.681892,6.164018,1,True,
Commanderie,48.686535,6.167975,1,True,
Maréchal Juin,48.677624,6.170268,1,True,
