Les Aulnois,48.653572,6.226551,1,True,
Cartonneries,48.658653,6.224458,1,True,
Laneuveville Centre,48.659142,6.230079,1,True,
Laneuveville Piscine,48.659164,6.227811,1,True,
Robert Damery,48.658863,6.216092,1,True,
Gabriel Fauré,48.66642,6.213476,1,True,
Flaubert,48.657166,6.217963,1,True,
5 Fontaines,48.656982,6.222147,1,True,
Laneuveville Gare,48.655457,6.227779,1,True,
Château de Montaigu,48.66534,6.216466,1,True,
Gérardcourt,48.649204,6.232337,1,True,
Huit Mai,48.650787,6.229087,1,True,
Leclerc,48.654415,6.232428,1,True,
Laneuveville Mairie,48.656471,6.231169,1,True,
Collège Montaigu,48.657669,6.209659,1,True,
Heillecourt Montaigu,48.657448,6.208746,1,True,
Sablonnière,48.654308,6.225153,1,True,
Transformateur,48.652889,6.23336,1,True,
Sainte-Valdrée,48.661396,6.222313,1,True,
Domaine Sainte-Anne,48.684757,6.156183,1,True,
Croix Saint-Claude,48.68927,6.132211,1,True,
Observatoire,48.689396,6.134993,1,True,
Laxou Champ-le-Boeuf,48.698002,6.124475,1,True,
Laxou Champ-le-boeuf,48.697773,6.122079,1,True,
Europe,48.680054,6.151325,1,True,
Foch,48.678062,6.15561,1,True,
Hardeval,48.681408,6.152553,1,True,
Madine,48.69891,6.127355,1,True,
Mareville,48.678997,6.145135,1,True,
La Poste - Champ-le-Boeuf,48.700298,6.133424,1,True,
Moselotte,48.69735,6.12493,1,True,
Cascade - La Fontaine,48.699066,6.135074,1,True,
Vair,48.695995,6.123948,1,True,
Laxou Plateau de Haye,48.697704,6.120225,1,True,
Laxou Plateau de haye,48.697704,6.120225,1,True,
Parc,48.696957,6.131263,1,True,
Provinces,48.679707,6.148133,1,True,
Laxou Sapinière,48.690907,6.12828,1,True,
Sarre,48.695446,6.12736,1,True,
Ville d'Avray,48.679363,6.144521,1,True,
Victoire,48.684322,6.152359,1,True,
Vologne,48.697124,6.137653,1,True,
Vezouze,48.695091,6.131861,1,True,
Zola,48.680347,6.15787,1,True,
Balzac,48.708748,6.204041,1,True,
Charpentier,48.705727,6.203109,1,True,
