Time, total travelers, travelers in a pod, waiting travelers, traveling pods, average waiting time, average travel time, total generated travelers
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:01:00,3,2,1,6,5.02,0,3
8:02:00,2,2,0,3,9.38,42.27,4
8:00:00,0,0,0,0,0,0,0
8:01:00,0,0,0,1,0,0,0
8:02:00,1,1,0,3,0.01,0,1
8:00:00,0,0,0,0,0,0,0
8:01:00,1,1,0,3,0.01,0,1
8:02:00,2,2,0,4,1.73,38.96,4
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:01:00,8,1,7,8,3.33,9.33,11
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:01:00,0,0,0,1,0,0,0
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
8:00:00,0,0,0,0,0,0,0
